Date,Price,Open,High,Low,Change %
07-Mar-19,15.026,15.076,15.128,14.974,-0.36%
06-Mar-19,15.081,15.128,15.175,15.028,-0.34%
05-Mar-19,15.132,15.085,15.181,15.032,0.32%
04-Mar-19,15.084,15.225,15.31,15.045,-0.85%
01-Mar-19,15.213,15.6,15.662,15.139,-2.52%
28-Feb-19,15.606,15.741,15.845,15.566,-0.86%
27-Feb-19,15.741,15.935,15.959,15.682,-1.22%
26-Feb-19,15.936,15.892,15.948,15.783,0.28%
25-Feb-19,15.891,15.926,16.016,15.837,-0.18%
22-Feb-19,15.919,15.812,15.998,15.785,0.65%
21-Feb-19,15.816,16.059,16.115,15.78,-1.49%
20-Feb-19,16.055,15.995,16.242,15.953,0.41%
19-Feb-19,15.99,15.814,16.034,15.719,1.14%
18-Feb-19,15.81,15.783,15.884,15.748,0.21%
15-Feb-19,15.778,15.625,15.832,15.538,0.97%
14-Feb-19,15.626,15.566,15.714,15.479,0.38%
13-Feb-19,15.567,15.707,15.837,15.519,-0.89%
12-Feb-19,15.708,15.706,15.851,15.651,0.00%
11-Feb-19,15.707,15.815,15.854,15.656,-0.76%
08-Feb-19,15.827,15.739,15.892,15.642,0.58%
07-Feb-19,15.735,15.667,15.783,15.625,0.38%
06-Feb-19,15.675,15.848,15.887,15.625,-1.14%
05-Feb-19,15.855,15.866,15.953,15.795,-0.06%
04-Feb-19,15.865,15.927,15.944,15.674,-0.30%
01-Feb-19,15.913,16.066,16.095,15.875,-0.96%
31-Jan-19,16.066,16.065,16.212,15.981,0.01%
30-Jan-19,16.065,15.844,16.126,15.813,1.39%
29-Jan-19,15.844,15.747,15.932,15.703,0.61%
28-Jan-19,15.748,15.74,15.838,15.586,0.00%
25-Jan-19,15.747,15.318,15.765,15.274,2.80%
24-Jan-19,15.318,15.355,15.422,15.229,-0.24%
23-Jan-19,15.354,15.335,15.457,15.246,0.13%
22-Jan-19,15.335,15.274,15.38,15.163,0.42%
21-Jan-19,15.27,15.339,15.387,15.174,-0.49%
18-Jan-19,15.345,15.52,15.599,15.31,-1.14%
17-Jan-19,15.523,15.592,15.643,15.436,-0.45%
16-Jan-19,15.592,15.578,15.674,15.481,0.08%
15-Jan-19,15.58,15.653,15.724,15.524,-0.47%
14-Jan-19,15.653,15.599,15.681,15.521,0.33%
11-Jan-19,15.601,15.563,15.764,15.535,0.24%
10-Jan-19,15.564,15.745,15.812,15.528,-1.15%
09-Jan-19,15.745,15.654,15.802,15.564,0.58%
08-Jan-19,15.655,15.647,15.712,15.484,0.05%
07-Jan-19,15.646,15.731,15.842,15.602,-0.30%
04-Jan-19,15.694,15.736,15.896,15.571,-0.27%
03-Jan-19,15.736,15.519,15.775,15.466,1.41%
02-Jan-19,15.517,15.485,15.636,15.325,0.16%
01-Jan-19,15.491,15.495,15.524,15.469,-0.02%
